S.NO,Submitted Time,1. Name,2. select book,3. Number of quantity
108,03-08-2022,Kumar,Mastering machine learning algorithm,1
109,03-08-2022,Seshadri,"HTML5,CSS3,Javascript php-blackwood",1
110,03-08-2022,Seshadri,"The full stack developer,Chris Northwood",1
111,03-08-2022,Somesh,Data science with python,1
112,03-08-2022,Somesh,Machine learning for beginners,1
113,03-08-2022,Eeswari,Hands on Machine Learning with scikit-learn,1
114,03-08-2022,Eeswari,Machine learning for beginners,1
115,03-08-2022,Haribabu,Data science with python,1
116,03-08-2022,Haribabu,The Data science handbook-Field cady,1
117,03-08-2022,Adi lakshmi,python programming:using problem solving approach,1
118,03-08-2022,Adi lakshmi,Data structure and algorithm through python,1
119,03-08-2022,A Haribabu,Hands on Machine Learning with scikit-learn,1
120,03-08-2022,A Haribabu,Machine learning for beginners,1
121,03-08-2022,A Haribabu,Machine learning and deep learning,1
122,03-08-2022,B Haribabu,Data science for dummies,1
123,03-08-2022,B Haribabu,Data science from scratch,1
124,03-08-2022,C Haribabu,Data science with python,1
125,03-08-2022,Supradeep,"HTML5,CSS3,Javascript php-blackwood",1
126,03-08-2022,Supradeep,App development using Java &XML,1
127,03-08-2022,Rishi,"The frame work for web-development,angular",1
128,03-08-2022,Rishi,Angular for beginners,1
129,03-08-2022,Rishi kumar,App development using Java &XML,1
130,03-08-2022,Rishi kumar,"The full stack developer,Chris Northwood",1
131,03-08-2022,Mohith kumar,App development using Java &XML,1
132,03-08-2022,Mohith kumar,"UX,UI design for beginners",1
133,03-08-2022,Mohith kumar,"The full stack developer,Chris Northwood",1
134,03-08-2022,Sushmithasen,"HTML,CSS,Javascript web publishing",1
135,03-08-2022,Sushmithasen,live web server with Reactjs and firebase,1
136,03-08-2022,Sushmithsen,live web server with Reactjs and firebase,1
137,03-08-2022,Purnachandra,Backbone of webdevelopment-angular,1
138,03-08-2022,Purnachandra,Angular for beginners,1
139,03-08-2022,Sharaschandra,Reactjs for beginners ,1
140,03-08-2022,Jagannadh,Practical statistics for data scientist,1
141,03-08-2022,Jagannadh,The Data science handbook-Field cady,1
142,03-08-2022,Jagannadh,Data science for dummies,1
143,03-08-2022,Jagannadh,Hands on Machine Learning with scikit-learn,1
144,03-08-2022,Trivikram,Think python:how to think like a computer scientist,1
145,03-08-2022,Trivikram,"Invent your own computer games with python,4th edition",1
146,03-08-2022,Vijaykumar naik,Machine learning for beginners,1
147,03-08-2022,Vijaykumar naik,Machine learning and deep learning,1
148,03-08-2022,Suguna,Machine learning with python,1
149,03-08-2022,Suguna,Mastering machine learning algorithm,1
150,03-08-2022,Rajani,Data science for dummies,1
151,03-08-2022,Rajani,Data science from scratch,1
